lab,method,subid,age_days,trial_type,trial_num,looking_time
ubc,single-screen,IV34,103.9,Train,2.0,19.62
ubc,single-screen,OC29,155.5,Train,2.0,9.11
ubc,single-screen,AC18,111.9,IDS,1.0,4.21
ubc,single-screen,ES14,159.5,IDS,1.0,2.41
ubc,single-screen,GM26,198.8,IDS,1.0,16.7
ubc,single-screen,C38,169.5,IDS,1.0,17.01
ubc,single-screen,SF11,181.5,IDS,1.0,12.75
ubc,single-screen,M25,178.5,IDS,1.0,19.79
ubc,single-screen,FA23,174.5,IDS,1.0,1.45
ubc,single-screen,AJ17,153.5,IDS,1.0,13.47
ubc,single-screen,EM16,133.2,IDS,1.0,17.94
ubc,single-screen,OJ21,158.5,IDS,1.0,14.07
ubc,single-screen,AZ13,186.8,IDS,1.0,5.05
ubc,single-screen,YL19,156.5,IDS,1.0,11.84
ubc,single-screen,OC20,166.5,IDS,1.0,19.1
ubc,single-screen,EA24,163.5,IDS,1.0,2.41
ubc,single-screen,EF27,194.8,IDS,1.0,7.8
ubc,single-screen,NB33,186.8,IDS,1.0,16.49
ubc,single-screen,I?35,140.2,IDS,1.0,2.03
ubc,single-screen,IV34,103.9,IDS,1.0,20.0
ubc,single-screen,OC29,155.5,IDS,1.0,15.75
ubc,single-screen,AC18,111.9,IDS,2.0,12.71
ubc,single-screen,ES14,159.5,IDS,2.0,18.49
ubc,single-screen,GM26,198.8,IDS,2.0,19.63
ubc,single-screen,C38,169.5,IDS,2.0,16.52
ubc,single-screen,SF11,181.5,IDS,2.0,6.6
ubc,single-screen,M25,178.5,IDS,2.0,5.8
ubc,single-screen,FA23,174.5,IDS,2.0,13.48
ubc,single-screen,AJ17,153.5,IDS,2.0,7.95
ubc,single-screen,EM16,133.2,IDS,2.0,6.05
ubc,single-screen,OJ21,158.5,IDS,2.0,8.84
ubc,single-screen,AZ13,186.8,IDS,2.0,5.0
ubc,single-screen,YL19,156.5,IDS,2.0,12.02
ubc,single-screen,OC20,166.5,IDS,2.0,3.64
ubc,single-screen,EA24,163.5,IDS,2.0,2.0
ubc,single-screen,EF27,194.8,IDS,2.0,8.42
ubc,single-screen,NB33,186.8,IDS,2.0,13.5
ubc,single-screen,I?35,140.2,IDS,2.0,6.87
ubc,single-screen,IV34,103.9,IDS,2.0,NA
ubc,single-screen,OC29,155.5,IDS,2.0,NA
ubc,single-screen,AC18,111.9,IDS,3.0,19.18
ubc,single-screen,ES14,159.5,IDS,3.0,19.18
ubc,single-screen,GM26,198.8,IDS,3.0,16.12
ubc,single-screen,C38,169.5,IDS,3.0,4.24
ubc,single-screen,SF11,181.5,IDS,3.0,15.97
ubc,single-screen,M25,178.5,IDS,3.0,17.8
ubc,single-screen,FA23,174.5,IDS,3.0,4.32
ubc,single-screen,AJ17,153.5,IDS,3.0,1.5
ubc,single-screen,EM16,133.2,IDS,3.0,6.68
ubc,single-screen,OJ21,158.5,IDS,3.0,14.87
ubc,single-screen,AZ13,186.8,IDS,3.0,2.46
